ZONA, NUMERACION_INICIAL, NUMERACION_FINAL, OCUPACION, MODALIDAD, RAZON_SOCIAL, FECHA_ASIGNACION
2,2835463128,2835463255,128,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",03/08/2001,
7,7429950000,7429950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3179950000,3179950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7699950000,7699950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3459950000,3459950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3169950000,3169950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3159950000,3159950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7489951000,7489951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8289950000,8289950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9969950000,9969950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7499950000,7499950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9535314000,9535314255,256,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",27/09/2000,
4,4959950000,4959950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9819950000,9819950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6459950000,6459950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9829950000,9829950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9379950000,9379950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3579950000,3579950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4869950000,4869950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7859950000,7859950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9949950000,9949950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3769950000,3769950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7639950000,7639950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9839950000,9839950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2759950000,2759950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2878747000,2878747127,128,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",08/08/2000,
6,6149950000,6149950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7569950000,7569950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3559950000,3559950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9239950000,9239950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8259950000,8259950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9689950000,9689950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8779950000,8779950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7679950000,7679950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8929960000,8929960999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9389950000,9389950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2878747128,2878747255,128,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",04/05/2001,
2,2769950000,2769950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4829950000,4829950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6769950000,6769950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8616135000,8616135599,600,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",30/05/2000,
8,8919950000,8919950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3419950000,3419950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7869950000,7869950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7539950000,7539950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9545538000,9545538255,256,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",21/02/2002,
8,8319950000,8319950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8649950000,8649950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8979950000,8979950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8199951000,8199951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6449950000,6449950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8249950000,8249950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2459950000,2459950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4819950000,4819950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8349950000,8349950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3139950000,3139950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2365345128,2365345511,384,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",22/02/2001,
7,7239950000,7239950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9219950000,9219950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3779950000,3779950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3129950000,3129950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8679950000,8679950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4199950000,4199950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4999950000,4999950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9339950000,9339950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9639950000,9639950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4129950000,4129950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2365345000,2365345127,128,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",22/02/2001,
2,2719950000,2719950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4119950000,4119950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2889950000,2889950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3949950000,3949950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
5,5939950000,5939950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7819950000,7819950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9879950000,9879950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6969950000,6969950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6259950000,6259950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
5,5599951000,5599951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9545812000,9545812127,128,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",16/07/1998,
6,6719950000,6719950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2789950000,2789950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2789951000,2789951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4559950000,4559950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6609950000,6609950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6399950000,6399950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4189950000,4189950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8459950000,8459950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9349950000,9349950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4759950000,4759950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9545812128,9545812383,256,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",27/09/2000,
4,4219950000,4219950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6959950000,6959950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7919950000,7919950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4939950000,4939950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9139950000,9139950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8641000000,8641004999,5000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",27/11/2001,
6,6989950000,6989950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8239950000,8239950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6499950000,6499950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6739950000,6739950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4739950000,4739950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6879950000,6879950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7669950000,7669950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6629951000,6629951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2878783000,2878783127,128,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",18/12/2001,
6,6379950000,6379950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9539950000,9539950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6229950000,6229950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8689950000,8689950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6319950000,6319950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7159950000,7159950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8679951000,8679951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9545539000,9545539255,256,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",31/12/1995,
6,6279950000,6279950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2479950000,2479950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6479950000,6479950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7769951000,7769951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2279950000,2279950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7899950000,7899950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4359950000,4359950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7619950000,7619950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9179950000,9179950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9649950000,9649950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9545534000,9545534511,512,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",31/12/1995,
3,3939950000,3939950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7339950000,7339950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6539950000,6539950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2839950000,2839950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7219950000,7219950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3249950000,3249950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9889950000,9889950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2439950000,2439950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4419951000,4419951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2269950000,2269950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9545534512,9545534639,128,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",27/09/2000,
4,4319950000,4319950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4639950000,4639950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9149950000,9149950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4219951000,4219951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4949950000,4949950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7619951000,7619951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4249950000,4249950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2969950000,2969950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6299950000,6299950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4679950000,4679950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9719950000,9719950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3499950000,3499950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4749950000,4749950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2838722200,2838722499,300,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",31/12/1995,
7,7289950000,7289950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8219950000,8219950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6139950000,6139950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9369950000,9369950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6529950000,6529950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3869950000,3869950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6329950000,6329950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6269950000,6269950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4479950000,4479950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2329950000,2329950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2838725000,2838725083,84,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",26/01/2001,
3,3889950000,3889950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4889950000,4889950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9729950000,9729950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3829950000,3829950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7379950000,7379950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4499731856,4499732207,352,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",30/11/2000,
8,8299950000,8299950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9229950000,9229950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9515281000,9515281255,256,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",21/02/2002,
2,2359950000,2359950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7389950000,7389950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6689950000,6689950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8669950000,8669950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8269950000,8269950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4459950000,4459950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9919950000,9919950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6349950000,6349950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6599950000,6599950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2799950000,2799950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9515233000,9515233127,128,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",16/07/1998,
6,6429950000,6429950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6729950000,6729950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4259950000,4259950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6369950000,6369950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6779950000,6779950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8679952000,8679952999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4829951000,4829951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3229951000,3229951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3599950000,3599950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9519950000,9519950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9515233128,9515233383,256,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",04/07/2001,
9,9199950000,9199950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3929950000,3929950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4589950000,4589950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4969950000,4969950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7419950000,7419950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2729950000,2729950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
5,5929950000,5929950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9169950000,9169950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8469950000,8469950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7849950000,7849950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9955466000,9955466127,128,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",22/02/2001,
4,4239950000,4239950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8429950000,8429950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2739950000,2739950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4349950000,4349950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4489950000,4489950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8641005000,8641005999,1000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",27/11/2001,
4,4699950000,4699950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3279950000,3279950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2829950000,2829950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7589950000,7589950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3529950000,3529950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9955466128,9955466255,128,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",03/08/2001,
8,8789950000,8789950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
2,2859950000,2859950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9189950000,9189950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4839950000,4839950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6619950000,6619950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6869950000,6869950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6589950000,6589950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9699950000,9699950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
7,7519950000,7519950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9549950000,9549950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
9,9545060000,9545060255,256,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",21/02/2002,
6,6389950000,6389950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4719950000,4719950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4389950000,4389950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4549950000,4549950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
5,5969950000,5969950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3549950000,3549950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
8,8998431000,8998431999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4659950000,4659950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4989950000,4989950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
4,4879951000,4879951999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
3,3199950000,3199950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
6,6949950000,6949950999,1000,FIJO,"AJTEL COMUNICACIONES, S. DE R.L. DE C.V.",23/05/2024,
