ZONA, NUMERACION_INICIAL, NUMERACION_FINAL, OCUPACION, MODALIDAD, RAZON_SOCIAL, FECHA_ASIGNACION
4,4741745000,4741749999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4741770000,4741779999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4741780000,4741784999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4779055000,4779055999,1000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3141990000,3141999999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3142000000,3142009999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414147000,3414147127,128,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",31/12/1995,
6,6693241000,6693249999,9000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6693350000,6693359999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6693360000,6693360999,1000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9996510000,9996519999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9996520000,9996529999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6864765000,6864769999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6864800000,6864809999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6864810000,6864814999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9222695000,9222699999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9222700000,9222709999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414147128,3414147383,256,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",24/05/2001,
9,9222710000,9222714999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6682965000,6682969999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6682970000,6682979999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6682980000,6682984999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6731679000,6731679999,1000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6731680000,6731689999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6731690000,6731698999,9000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8261785000,8261789999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8261790000,8261799999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8261800000,8261804999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414184000,3414184999,1000,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",15/12/1998,
4,4436797000,4436799999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4436990000,4436999999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4437000000,4437006999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6421886000,6421889999,4000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6421890000,6421899999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6421900000,6421905999,6000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8673245000,8673249999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8673250000,8673259999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8673260000,8673264999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9515595000,9515599999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414190000,3414199999,10000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",10/05/2000,
9,9515950000,9515959999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9515990000,9515994999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2722785000,2722789999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2722850000,2722859999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2722860000,2722864999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7841795000,7841799999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7841800000,7841809999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7841810000,7841814999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6122920000,6122929999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6122930000,6122939999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3521925000,3521929999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414200000,3414202999,3000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",10/05/2000,
3,3521950000,3521959999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3521960000,3521964999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9843240000,9843249999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9843250000,9843259999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7822505000,7822509999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7822560000,7822569999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7822570000,7822574999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6381580000,6381589999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6381590000,6381599999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414205000,3414209999,5000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",10/05/2000,
3,3223410000,3223419999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3223420000,3223429999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8995380000,8995389999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
8,8995390000,8995399999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6941376000,6941379999,4000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6941390000,6941399999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6941400000,6941405999,6000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3531603000,3531609999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3531610000,3531619999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3531620000,3531622999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414203000,3414204999,2000,MPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",10/05/2000,
4,4642035000,4642039999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
